IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,Sex,RATE_PER_CAPITA_N,RATE_PER_CAPITA_NL,RATE_PER_CAPITA_NU
EE6F72A,Alcohol consumption (age 15+),COUNTRY,076,Brazil,YEAR,2003,Female,3.641691233,2.3785600160000002,4.980352452
EE6F72A,Alcohol consumption (age 15+),COUNTRY,076,Brazil,YEAR,2004,Female,3.604616094,2.38517323,4.938589603
EE6F72A,Alcohol consumption (age 15+),COUNTRY,076,Brazil,YEAR,2010,Female,3.741420113,2.479705428,5.062658435
EE6F72A,Alcohol consumption (age 15+),COUNTRY,076,Brazil,YEAR,2012,Female,3.700589663,2.519308245,5.048485805
EE6F72A,Alcohol consumption (age 15+),COUNTRY,076,Brazil,YEAR,2014,Female,3.576964033,2.38667218,4.884756771
EE6F72A,Alcohol consumption (age 15+),COUNTRY,076,Brazil,YEAR,2015,Female,3.50813636,2.286682258,4.788928737
EE6F72A,Alcohol consumption (age 15+),COUNTRY,076,Brazil,YEAR,2017,Female,3.324935781,2.149848948,4.534762225
EE6F72A,Alcohol consumption (age 15+),COUNTRY,076,Brazil,YEAR,2019,Female,3.272291069,2.163869989,4.469695544
EE6F72A,Alcohol consumption (age 15+),COUNTRY,076,Brazil,YEAR,2002,Female,3.702272247,2.394571412,5.030002562
EE6F72A,Alcohol consumption (age 15+),COUNTRY,076,Brazil,YEAR,2009,Female,3.712417394,2.458310917,4.983941901
EE6F72A,Alcohol consumption (age 15+),COUNTRY,076,Brazil,YEAR,2013,Female,3.657382508,2.456548863,4.993067319
EE6F72A,Alcohol consumption (age 15+),COUNTRY,076,Brazil,YEAR,2016,Female,3.415804267,2.222893133,4.652096825
EE6F72A,Alcohol consumption (age 15+),COUNTRY,076,Brazil,YEAR,2020,Female,3.272883046,2.118304767,4.596761232
EE6F72A,Alcohol consumption (age 15+),COUNTRY,076,Brazil,YEAR,2018,Female,3.272291069,2.163869989,4.469695544
EE6F72A,Alcohol consumption (age 15+),COUNTRY,076,Brazil,YEAR,2000,Female,3.764309848,2.516465991,5.117674628
EE6F72A,Alcohol consumption (age 15+),COUNTRY,076,Brazil,YEAR,2008,Female,3.668055528,2.418887178,4.956096918
EE6F72A,Alcohol consumption (age 15+),COUNTRY,076,Brazil,YEAR,2001,Female,3.764309848,2.516465991,5.117674628
EE6F72A,Alcohol consumption (age 15+),COUNTRY,076,Brazil,YEAR,2005,Female,3.599580732,2.441400162,4.954323986
EE6F72A,Alcohol consumption (age 15+),COUNTRY,076,Brazil,YEAR,2006,Female,3.618831726,2.439096896,4.982981748
EE6F72A,Alcohol consumption (age 15+),COUNTRY,076,Brazil,YEAR,2007,Female,3.63676161,2.442270328,4.954043001
EE6F72A,Alcohol consumption (age 15+),COUNTRY,076,Brazil,YEAR,2011,Female,3.760758582,2.555823764,5.122837421
EE6F72A,Alcohol consumption (age 15+),COUNTRY,076,Brazil,YEAR,2001,Male,13.87448449,9.412735348,18.512328
EE6F72A,Alcohol consumption (age 15+),COUNTRY,076,Brazil,YEAR,2006,Male,13.23775611,8.923087675,17.96520156
EE6F72A,Alcohol consumption (age 15+),COUNTRY,076,Brazil,YEAR,2011,Male,13.86520551,9.559594392,18.49834572
EE6F72A,Alcohol consumption (age 15+),COUNTRY,076,Brazil,YEAR,2017,Male,12.49659689,8.246261337,16.82217114
EE6F72A,Alcohol consumption (age 15+),COUNTRY,076,Brazil,YEAR,2019,Male,12.31530899,8.2111446,16.57437391
EE6F72A,Alcohol consumption (age 15+),COUNTRY,076,Brazil,YEAR,2020,Male,12.36836737,7.945144964,16.85844831
EE6F72A,Alcohol consumption (age 15+),COUNTRY,076,Brazil,YEAR,2018,Male,12.31530899,8.2111446,16.57437391
EE6F72A,Alcohol consumption (age 15+),COUNTRY,076,Brazil,YEAR,2007,Male,13.30580192,8.928174244,17.90581993
EE6F72A,Alcohol consumption (age 15+),COUNTRY,076,Brazil,YEAR,2008,Male,13.4706589,8.97426065,17.88668681
EE6F72A,Alcohol consumption (age 15+),COUNTRY,076,Brazil,YEAR,2014,Male,13.35215456,9.013877879,18.00297571
EE6F72A,Alcohol consumption (age 15+),COUNTRY,076,Brazil,YEAR,2016,Male,12.82553151,8.531232936,17.23771383
