IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,RATE_PER_100_N,RATE_PER_100_NL,RATE_PER_100_NU
FC5231F,Wasting in children (under 5),COUNTRY,076,Brazil,YEAR,2007,1.8,1.3,2.7
FC5231F,Wasting in children (under 5),COUNTRY,076,Brazil,YEAR,1989,2.4,1.9,3.2
FC5231F,Wasting in children (under 5),COUNTRY,076,Brazil,YEAR,1996,2.8,2.3,3.6
FC5231F,Wasting in children (under 5),COUNTRY,076,Brazil,YEAR,2019,3.4,2.9,4.1
FC5231F,Wasting in children (under 5),COUNTRY,076,Brazil,YEAR,2007,3.5,2,6.1
FC5231F,Wasting in children (under 5),COUNTRY,076,Brazil,YEAR,1996,5.4,4,7.2
FC5231F,Wasting in children (under 5),COUNTRY,076,Brazil,YEAR,2019,5,3.8,6.6
FC5231F,Wasting in children (under 5),COUNTRY,076,Brazil,YEAR,1989,6,4.5,8
FC5231F,Wasting in children (under 5),COUNTRY,076,Brazil,YEAR,1989,3.7,2.9,4.7
FC5231F,Wasting in children (under 5),COUNTRY,076,Brazil,YEAR,2007,3.1,2,5
FC5231F,Wasting in children (under 5),COUNTRY,076,Brazil,YEAR,2019,4.1,3.2,5.2
FC5231F,Wasting in children (under 5),COUNTRY,076,Brazil,YEAR,1996,3.8,3,5
FC5231F,Wasting in children (under 5),COUNTRY,076,Brazil,YEAR,2007,5.3,2.7,10
FC5231F,Wasting in children (under 5),COUNTRY,076,Brazil,YEAR,1989,8,5.6,11.5
FC5231F,Wasting in children (under 5),COUNTRY,076,Brazil,YEAR,1996,6.1,4,9.1
FC5231F,Wasting in children (under 5),COUNTRY,076,Brazil,YEAR,2019,6.9,5,9.4
FC5231F,Wasting in children (under 5),COUNTRY,076,Brazil,YEAR,2007,4.7,2.1,10.1
FC5231F,Wasting in children (under 5),COUNTRY,076,Brazil,YEAR,2019,2.4,1.3,4.4
FC5231F,Wasting in children (under 5),COUNTRY,076,Brazil,YEAR,1989,1.4,0.8,2.4
FC5231F,Wasting in children (under 5),COUNTRY,076,Brazil,YEAR,1996,2.5,1.3,4.6
FC5231F,Wasting in children (under 5),COUNTRY,076,Brazil,YEAR,2007,2.7,1.2,5.7
FC5231F,Wasting in children (under 5),COUNTRY,076,Brazil,YEAR,1996,2.2,1.3,3.5
FC5231F,Wasting in children (under 5),COUNTRY,076,Brazil,YEAR,2019,3.1,2,4.7
FC5231F,Wasting in children (under 5),COUNTRY,076,Brazil,YEAR,1989,1.5,1,2.2
FC5231F,Wasting in children (under 5),COUNTRY,076,Brazil,YEAR,1996,2.1,1.6,2.9
