IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,Degree of urbanization,PERCENT_POP_N
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2000,Rural,46.97544
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2001,Rural,49.05126
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2007,Rural,53.71782
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2008,Rural,54.40484
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2010,Rural,55.77887
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2003,Rural,50.96975
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2004,Rural,51.65677
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2005,Rural,52.34379
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2018,Rural,68.63688
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2019,Rural,70.64717
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2013,Rural,58.99811
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2014,Rural,60.87084
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2016,Rural,64.25053
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2022,Rural,76.01856
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2006,Rural,53.0308
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2011,Rural,56.46589
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2015,Rural,62.77108
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2017,Rural,66.6541
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2002,Rural,50.28274
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2009,Rural,55.09185
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2012,Rural,57.1529
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2020,Rural,72.68498
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2021,Rural,74.75031
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2001,Total,76.59753
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2002,Total,76.98464
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2006,Total,78.07713
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2007,Total,78.33727
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2008,Total,78.59245
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2009,Total,78.84221
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2011,Total,79.32989
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2012,Total,79.56787
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2005,Total,77.81197
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2013,Total,80.38308
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2020,Total,85.92162
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2003,Total,77.26597
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2010,Total,79.08718
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2016,Total,82.74326
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2019,Total,85.19093
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2021,Total,86.64403
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2000,Total,76.0321
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2004,Total,77.54171
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2014,Total,81.1948
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2015,Total,82.00246
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2017,Total,83.60515
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2018,Total,84.40004
1548EA3,Population using safely managed drinking-water services,COUNTRY,076,Brazil,YEAR,2022,Total,87.25872
